Size (360, 360, 360); Boundaries 20; Domains (8, 6, 1); Time 35.12 s; Iterations 331; Residual norm 9.661e-07 
Size (360, 360, 360); Boundaries 20; Domains (8, 7, 1); Time 41.17 s; Iterations 332; Residual norm 9.715e-07 
Size (360, 360, 360); Boundaries 20; Domains (8, 8, 1); Time 43.07 s; Iterations 331; Residual norm 9.667e-07 
Size (360, 360, 360); Boundaries 20; Domains (8, 9, 1); Time 46.88 s; Iterations 332; Residual norm 9.721e-07 
Size (360, 360, 360); Boundaries 20; Domains (8, 10, 1); Time 49.47 s; Iterations 331; Residual norm 9.665e-07 
Size (360, 360, 360); Boundaries 20; Domains (8, 11, 1); Time 53.71 s; Iterations 332; Residual norm 9.723e-07 
Size (360, 360, 360); Boundaries 20; Domains (8, 12, 1); Time 58.24 s; Iterations 332; Residual norm 9.707e-07 
Size (360, 360, 360); Boundaries 20; Domains (8, 13, 1); Time 61.09 s; Iterations 332; Residual norm 9.734e-07 
Size (360, 360, 360); Boundaries 20; Domains (8, 14, 1); Time 64.78 s; Iterations 332; Residual norm 9.723e-07 
Size (360, 360, 360); Boundaries 20; Domains (8, 15, 1); Time 68.08 s; Iterations 332; Residual norm 9.722e-07 
Size (360, 360, 360); Boundaries 20; Domains (8, 16, 1); Time 71.47 s; Iterations 331; Residual norm 9.665e-07 
Size (360, 360, 360); Boundaries 20; Domains (8, 17, 1); Time 75.57 s; Iterations 332; Residual norm 9.730e-07 
Size (360, 360, 360); Boundaries 20; Domains (8, 18, 1); Time 80.31 s; Iterations 332; Residual norm 9.707e-07 
Size (360, 360, 360); Boundaries 20; Domains (8, 19, 1); Time 85.07 s; Iterations 332; Residual norm 9.775e-07 
Size (360, 360, 360); Boundaries 20; Domains (8, 20, 1); Time 86.61 s; Iterations 331; Residual norm 9.690e-07 
Size (360, 360, 360); Boundaries 20; Domains (9, 1, 1); Time 9.90 s; Iterations 222; Residual norm 9.597e-07 
Size (360, 360, 360); Boundaries 20; Domains (9, 2, 1); Time 20.81 s; Iterations 332; Residual norm 9.672e-07 
Size (360, 360, 360); Boundaries 20; Domains (9, 3, 1); Time 26.32 s; Iterations 333; Residual norm 9.794e-07 
Size (360, 360, 360); Boundaries 20; Domains (9, 4, 1); Time 29.70 s; Iterations 332; Residual norm 9.715e-07 
Size (360, 360, 360); Boundaries 20; Domains (9, 5, 1); Time 33.27 s; Iterations 333; Residual norm 9.796e-07 
Size (360, 360, 360); Boundaries 20; Domains (9, 6, 1); Time 38.07 s; Iterations 332; Residual norm 9.717e-07 
Size (360, 360, 360); Boundaries 20; Domains (9, 7, 1); Time 43.95 s; Iterations 333; Residual norm 9.796e-07 
Size (360, 360, 360); Boundaries 20; Domains (9, 8, 1); Time 45.96 s; Iterations 332; Residual norm 9.724e-07 
